Time;Price (cent/kWh)
21/10/2023 18.59;1,86
21/10/2023 19.59;1,617
21/10/2023 20.59;1,425
21/10/2023 21.59;1,3
21/10/2023 22.59;1,241
21/10/2023 23.59;1,152
22/10/2023 0.59;1,311
22/10/2023 1.59;1,304
22/10/2023 2.59;1,322
22/10/2023 3.59;1,323
22/10/2023 4.59;1,35
22/10/2023 5.59;1,455
22/10/2023 6.59;1,694
22/10/2023 7.59;1,788
22/10/2023 8.59;2,115
22/10/2023 9.59;2,231
22/10/2023 10.59;3,708
22/10/2023 11.59;5,881
22/10/2023 12.59;5,445
22/10/2023 13.59;3,533
22/10/2023 14.59;3,855
22/10/2023 15.59;5,76
22/10/2023 16.59;6,357
22/10/2023 17.59;6,875
22/10/2023 18.59;7,256
22/10/2023 19.59;7,128
22/10/2023 20.59;6,742
22/10/2023 21.59;4,805
22/10/2023 22.59;3,093
22/10/2023 23.59;2,36
23/10/2023 0.59;3,68
23/10/2023 1.59;3,059
23/10/2023 2.59;3,032
23/10/2023 3.59;3,012
23/10/2023 4.59;3,474
23/10/2023 5.59;7,058
23/10/2023 6.59;31,004
23/10/2023 7.59;31,002
23/10/2023 8.59;31,001
23/10/2023 9.59;24,8
23/10/2023 10.59;15,388
23/10/2023 11.59;24,799
23/10/2023 12.59;16,207
23/10/2023 13.59;12,39
23/10/2023 14.59;10,229
23/10/2023 15.59;12,29
23/10/2023 16.59;12,401
23/10/2023 17.59;16,525
23/10/2023 18.59;16,16
23/10/2023 19.59;9,689
23/10/2023 20.59;8,268
23/10/2023 21.59;7,817
23/10/2023 22.59;3,961
23/10/2023 23.59;2,978
24/10/2023 0.59;3,207
24/10/2023 1.59;3,129
24/10/2023 2.59;3,054
24/10/2023 3.59;3,102
24/10/2023 4.59;3,436
24/10/2023 5.59;5,476
24/10/2023 6.59;8,214
24/10/2023 7.59;20,472
24/10/2023 8.59;20,467
24/10/2023 9.59;16,907
24/10/2023 10.59;15,918
24/10/2023 11.59;11,368
24/10/2023 12.59;12,282
24/10/2023 13.59;14,606
24/10/2023 14.59;15,489
24/10/2023 15.59;9,172
